3662200236416000014,"7 000 000,00 ",14.06.2016,20.07.2016,Электронный аукцион,Администрация городского округа Нижняя Салда,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""МАЛАХИТ""",6622002364,6679050556,15.05.2014,"['23380, область Свердловская, Полевской, микрорайон Зеленый Бор-1, д. 5А, оф. ОФИС 4']",7-922-2109988,skdekor@mail.ru,42.11.10.120,Капитальный ремонт улицы Ломоносова в городе Нижняя Салда
2666900961521000002,"1 095 237,00 ",04.01.2021,28.02.2021,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ГОРОДСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ ГОРОД НИЖНИЙ ТАГИЛ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕФТЕТРЕЙДИНГ""",6669009615,6623090606,13.12.2012,"['622002, ОБЛ СВЕРДЛОВСКАЯ, Г НИЖНИЙ ТАГИЛ, УЛ КРАСНОАРМЕЙСКАЯ, ДОМ 79, ОФИС 3']",7-922-2227776,knn@ukn.ru,,Бензин автомобильный АИ-92 экологического класса не ниже К5 (розничная реализация)
1667008196922000008,"1 200 000,00 ",28.12.2021,31.12.2022,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЦЕНТР ГИГИЕНЫ И ЭПИДЕМИОЛОГИИ В СВЕРДЛОВСКОЙ ОБЛАСТИ""","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""КОМЭНЕРГОРЕСУРС"" (МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""КОМЭНЕРГОРЕСУРС"")",6670081969,6617020914,12.05.2012,"['624480, ОБЛ СВЕРДЛОВСКАЯ 66, Г СЕВЕРОУРАЛЬСК, УЛ СВЕРДЛОВА, ДОМ 5']",7-34380-30214,komenergoresurs@bk.ru,35.30.11.120,1
3665700359119000010,"1 990 301,37 ",11.02.2019,31.12.2019,Электронный аукцион,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШАЛИНСКОГО ГОРОДСКОГО ОКРУГА ""ДЕТСКИЙ САД №3""",Карнаухов Вячеслав ЮрьевичИндивидуальный предприниматель,6657003591,665700091952,01.01.2012,"['623030,Свердловская область, п.Шаля, ул.Привокзальная, 5']",7-343-5822688,karnauhovvu@mail.ru,46.32.11.000,Услуги по оптовой торговле мясом (включая мясо птицы)
2666001041518000790,"21 903 323,20 ",04.12.2018,31.12.2018,Электронный аукцион,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ,"Общество с ограниченной ответственностью ""Торговый дом ""Фарм-Центр""",6660010415,7733594911,12.02.2017,"['125362, Российская Федерация, г. Москва, ул. Свободы, дом 35, стр. 12Б, ОКАТО: 45283573000']",7-495-2585447,agg_d@tdfc.ru,21.20.21.125,"Вакцина против вируса папилломы человека квадривалентная, рекомбинантная (типов 6, 11, 16, 18)	Гардасил	Суспензия для внутримышечного введения	Мерк Шарп и Доум, США"
1666105553916000001,"1 710 050,52 ",13.05.2016,08.07.2016,Электронный аукцион,УПРАВЛЕНИЕ УРАЛЬСКОГО РЕГИОНАЛЬНОГО КОМАНДОВАНИЯ ВНУТРЕННИХ ВОЙСК МВД РОССИИ,"Общество с ограниченной ответственностью ""Дюртюлимебель""",6661055539,0260007431,28.04.2003,"['452320, Башкортостан респ. Дюртюлинский р-н, г. Дюртюли, ул. Разила Мусина 25']",7-937-3633044,durtulimebel@mail.ru,31.09.13.190,Мебель для нужд воинских частей УрРК ВВ МВД России
1665806829518000022,"1 030 000,00 ",26.04.2018,31.12.2018,"Закупка у единственного поставщика (подрядчика, исполнителя)",ВОЙСКОВАЯ ЧАСТЬ 3728,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО МЕЖДУГОРОДНОЙ И МЕЖДУНАРОДНОЙ ЭЛЕКТРИЧЕСКОЙ СВЯЗИ ""РОСТЕЛЕКОМ"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО МЕЖДУГОРОДНОЙ И МЕЖДУНАРОДНОЙ ЭЛЕКТРИЧЕСКОЙ СВЯЗИ ""РОСТЕЛЕКОМ"")",,7707049388,25.07.2006,"['г. Екатеринбург, ул. Луначарского, 134 б']",7-953607-7616,fomin-sv@ural.rt.ru,61.10.11.110,Услуги общедоступной электрической связи для нужд УрО ВНГ РФ
1666901352317000084,"1 390 253,25 ",02.10.2017,31.12.2017,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 6 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОДОКАНАЛ-НТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОДОКАНАЛ-НТ"")",6669013523,6623034200,13.09.2006,"['622001, ОБЛ СВЕРДЛОВСКАЯ 66, Г НИЖНИЙ ТАГИЛ, УЛ КРАСНОАРМЕЙСКАЯ, 45А']",8-3435-257600,buh.ik6@mail.ru,36.00.20.130,Водоснабжение
3665700195716000031,"30 709 178,52 ",10.10.2016,01.08.2017,Электронный аукцион,АДМИНИСТРАЦИЯ ШАЛИНСКОГО ГОРОДСКОГО ОКРУГА,"Общество с ограниченной отвественностью ""РегионСпецСтрой""",6657001957,6686013756,27.02.2013,"['620075, Свердловская область, г. Екатеринбург, ул. Луначарского, д. 77, оф. 55']",7-343-3176558,ooo.regionss@yandex.ru,41.20.30.000,"Выполнение работ по строительству трехэтажного многоквартирного жилого дома секционного типа в р.п. Шаля Свердловской области по ул. Ленина, 39 на условиях ""под ключ"""
2666001041520000335,"13 851 450,00 ",06.05.2020,30.06.2020,"Закупка у единственного поставщика (подрядчика, исполнителя)",МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИТАНИЕ И СЕРВИС""",6660010415,6671382800,26.09.2011,"['620100, ОБЛ СВЕРДЛОВСКАЯ, Г ЕКАТЕРИНБУРГ, ТРАКТ СИБИРСКИЙ, СТРОЕНИЕ 49,']",79506513598,Director.ekat@gmail.com,56.29.19.000,"Услуги по организации питания волонтеров, а также работников медицинских организаций муниципального образования «город Екатеринбург» и государственных учреждений здравоохранения Свердловской области, участвующих в оказании помощи гражданам, у которых выявлена новая коронавирусная инфекция, и лицам и..."
1665803307718000225,"3 629 438,00 ",16.10.2018,31.12.2018,Электронный аукцион,ПРОКУРАТУРА СВЕРДЛОВСКОЙ ОБЛАСТИ,"Общество с ограниченной ответственностью ""ГАЗПРОМНЕФТЬ - КОРПОРАТИВНЫЕ ПРОДАЖИ"" отделение ""Урал""""",6658033077,5259033080,30.10.2013,"['620100, Свердловская область, г.Екатеринбург, Сибирский тракт, д.12, строение 7, оф.104']",8-343-3111566,Lambrekht.EV@gpncard.ru,,Бензин автомобильный АИ-92 экологического класса не ниже К2 (оптовая реализация)
2666001041516000276,"2 940 300,00 ",07.06.2016,01.10.2016,Электронный аукцион,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САВ-ФАРМ"" (ООО ""САВ-ФАРМ"")",6660010415,6686006036,04.04.2012,"['620012, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, пл 1-Й ПЯТИЛЕТКИ, Б/Н, СКЛАД ЦЕХА 61']",7-343-3100055,оpt1@raduga-farma.ru,21.20.10.174,"ТАМСУЛОЗИН, ОМНИК, капсулы с модифицированным высвобождением 0.4 мг, 10 шт. - (3) - , Вл., Пр. - Астеллас Фарма Юроп Б.В. - Нидерланды; Уп. - ЗАО ""Ортат"" - Россия"
2666001253220000056,"2 299 440,00 ",30.11.2020,13.11.2021,Электронный аукцион,"ФИЛИАЛ ГОСУДАРСТВЕННОГО КАЗЕННОГО УЧРЕЖДЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""УРАЛМОНАЦИТ""","ФИЛИАЛ ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО УНИТАРНОГО ПРЕДПРИЯТИЯ ""ОХРАНА"" ФЕДЕРАЛЬНОЙ СЛУЖБЫ ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ",6660012532,7719555477,08.07.2011,"['620075, ОБЛ СВЕРДЛОВСКАЯ, Г ЕКАТЕРИНБУРГ, УЛ КАРЛА ЛИБКНЕХТА, 22,']",73433824444140,ekbboxp@inbox.ru,,Услуги по обеспечению общественного порядка и безопасности
3661900735518000028,"1 951 008,68 ",18.04.2018,24.08.2018,Электронный аукцион,"КРАСНОУФИМСКОЕ МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ЕДИНОГО ЗАКАЗЧИКА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙЭНЕРГОКОМПЛЕКТ""",6619007355,6677006632,29.09.2014,"['Свердловская область, г. Алапаевск, ул. Братьев Серебряковых, д. 9, кв. 40']",7-950555-2964,office@stroi-ek.com,42.11.20.000,"Обеспечение безопасности дорожного движения вблизи образовательных учреждений г. Красноуфимск Свердловской области. Обустройство пешеходных переходов светофорами тип Т.7., Т.1."
3662300075418000006,"7 629 000,00 ",12.02.2018,13.02.2019,Электронный аукцион,АДМИНИСТРАЦИЯ ГОРОДА НИЖНИЙ ТАГИЛ,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ"" (ПАО СБЕРБАНК)",6623000754,7707083893,09.01.2017,"['117997, Г МОСКВА 77, УЛ ВАВИЛОВА, 19']",7-343-2350867,eaporivkin@uarlsbank.ru,64.19.21.000,Услуги по предоставлению кредитов финансовыми организациями юридическим лицам
1666901375618000092,"6 500 000,00 ",17.12.2018,31.12.2018,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 12 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРЕДПРИЯТИЕ ""СТРОЙКОМПЛЕКТ""",6669013756,6663066293,08.08.2002,"['624006, Свердловская область, Сысертский район, п. Большой Исток,           ул. Свердлова, 42а']",7-343-3111211,info@skl.ru,28.92.27.120,экскаватор-погрузчик
1665901436622000257,"1 057 200,00 ",30.05.2022,14.07.2022,Электронный аукцион,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПУТЕЙ СООБЩЕНИЯ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ЦИФРОВЫХ КОММУНИКАЦИЙ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ЦИФРОВЫХ КОММУНИКАЦИЙ"")",6659014366,9715231387,02.12.2015,"['127566, - МОСКВА 77, - ЮРЛОВСКИЙ, Д. 14, К. 4, ПОМЕЩ. VIII']",7-495-1084042,info@dcc.su,26.30.11.150,1
3661301017521000094,"1 207 000,00 ",14.12.2021,30.04.2022,Запрос котировок в электронной форме,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ АДМИНИСТРАЦИИ КАМЫШЛОВСКОГО ГОРОДСКОГО ОКРУГА""",МУРАЧЕВ ЕВГЕНИЙ ВЛАДИМИРОВИЧИндивидуальный предприниматель,6613010175,661300005542,22.09.2020,"['ОБЛ СВЕРДЛОВСКАЯ 66, Г КАМЫШЛОВ']",8-902-2683766,evm-2020@yandex.ru,43.99.90.190,1
2666001041516000789,"25 032 281,51 ",26.12.2016,31.12.2016,Электронный аукцион,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ,"Общество с ограниченной ответственностью ""Профарм""",6660010415,3810326670,12.09.2012,"['664053, г. Иркутск,', 'ул. Розы Люксембург, д. 184']",8-395-2550355,Profarm@inbox.ru,21.20.10.194,"ДАРУНАВИР	КЕМЕРУВИР	таблетки покрытые пленочной оболочкой 400 мг, № 60	ОАО ""Фармасинтез"" - Россия"
2666900511319000471,"3 593 611,65 ",23.08.2019,31.12.2019,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ГОРОДСКАЯ БОЛЬНИЦА № 4 ГОРОД НИЖНИЙ ТАГИЛ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖКХ СЕРВИС""",6669005113,6623038892,11.04.2007,"['622015, ОБЛ СВЕРДЛОВСКАЯ, Г НИЖНИЙ ТАГИЛ, УЛ КРЫМСКАЯ, 29, 38']",79222207243,gkhservisnt@mail.ru,41.20.40.000,"Выполнение работ по капитальному ремонту помещений 1-го этажа для размещения компьютерного томографа в здании терапевтического корпуса (здание терапевтического корпуса с пристроем. Кадастровый  номер: 66:56:0000000:14064.) по адресу: Свердловская область,  г. Нижний Тагил, улица Солнечная, 1, строен..."
3663800066918000062,"1 429 450,00 ",26.11.2018,20.12.2018,Электронный аукцион,АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ БАЙКАЛОВСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОКАДА"" (-)",6638000669,6638002521,01.09.2011,"['623870, ОБЛ СВЕРДЛОВСКАЯ 66, Р-Н БАЙКАЛОВСКИЙ, С БАЙКАЛОВО, УЛ МАЛЬГИНА, ДОМ 33']",7-343-3046025,ooo_rokada@list.ru,42.11.10.129,Ремонт подъездного пути и устройство площадки (места) накопления твердых коммунальных отходов
1665800007120000078,"1 047 396,00 ",07.04.2020,31.12.2020,Электронный аукцион,ГЛАВНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕАЛ УРАЛ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕАЛ УРАЛ"")",6658000071,6658457083,03.07.2014,"['620036, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ ЗАГОРСКАЯ, 6']",8-343-3021517,89089014110@mail.ru,28.93.17.113,Машина тестомесильная
2666001041518000214,"5 097 786,50 ",18.06.2018,01.10.2018,Электронный аукцион,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ,"Общество с ограниченной ответственностью ""Русбиофарма""",6660010415,4633036361,23.07.2014,"['307170, Российская Федерация, Курская обл., г. Железногорск, ул. Курская, 33, ОКАТО: 38405000000']",7-910-3114686,rusbiopharma@yandex.ru,21.20.10.139,"С1-эстеразы ингибитор	Беринерт®	лиофилизат для приготовления раствора для внутривенного введения 500 МЕ, №1	СиЭсЭл Беринг ГмбХ, Германия"
3662501729520000008,"2 788 913,05 ",27.05.2020,31.12.2020,Электронный аукцион,"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 37 КОМБИНИРОВАННОГО ВИДА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕВДИНСКИЙ МОЛОЧНЫЙ КОМБИНАТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕВДИНСКИЙ МОЛОЧНЫЙ КОМБИНАТ"")",6625017295,6625039080,24.09.2019,"['620100, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ ВОСТОЧНАЯ, СТРОЕНИЕ 7Г, ОФИС 714']",8-343-2351005-206,rmk_07@mail.ru,,Молоко питьевое
3660800243618000220,"3 096 800,00 ",20.07.2018,31.12.2019,Электронный аукцион,"ЕКАТЕРИНБУРГСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ЕКАТЕРИНБУРГСКИЙ МЕТРОПОЛИТЕН""","Общество с ограниченной ответственностью ""Эко-сервис""",6608002436,6670442887,11.10.2016,"['620000, Российская Федерация, Свердловская область, Екатеринбург, Город Екатеринбург, проспект Ленина, 79-А офис (квартира)  7']",7-343-3589273,ekaservis66@ya.ru,81.21.10.000,"Оказание услуг по комплексной уборке пассажирских зон и прилегающих территорий станции ""Чкаловская"""
1665807695518000104,"2 999 655,00 ",08.05.2018,31.12.2018,Электронный аукцион,ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ,Общество с ограниченной ответственностью «Аккумуляторные Технологии»,6658076955,7734345410,22.01.2015,"['123098, г. Москва, ул. Маршала Новикова, д. 4, корп. 1, оф. 7']",7-343-2626625,elekt-art@mail.ru,27.20.23.120,Батареи аккумуляторные никель-металл-гидридные
1666901375617000002,"12 091 955,38 ",28.11.2016,31.12.2017,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 12 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ КОРПОРАЦИЯ ""УРАЛВАГОНЗАВОД"" ИМЕНИ Ф.Э. ДЗЕРЖИНСКОГО""",6669013756,6623029538,31.03.2008,"['622007, ОБЛ СВЕРДЛОВСКАЯ 66, Г НИЖНИЙ ТАГИЛ, Ш ВОСТОЧНОЕ, 28']",7-3435-345293,7bz@uvz.ru,24.10.31.000,"поставка сырья, материалов, заготовок"
3665807825419000003,"2 536 104,25 ",19.12.2019,31.12.2021,"Закупка у единственного поставщика (подрядчика, исполнителя)",МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ - ДЕТСКИЙ САД КОМБИНИРОВАННОГО ВИДА № 510,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС"")",6658078254,6315376946,15.06.2015,"['143421, ОБЛ МОСКОВСКАЯ 50, Р-Н КРАСНОГОРСКИЙ, АВТОДОРОГА БАЛТИЯ, ТЕР 26 КМ БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, СТРОЕНИЕ 3, ОФИС 506']",7-343-3555464,Anna.Isakova@esplus.ru,35.30.11.119,"Снабжение тепловой энергией и теплоносителем, в том числе как горячей водой на нужды горячего водоснабжения"
1666901243119000069,"6 236 244,49 ",08.08.2019,29.12.2020,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 13 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ КОРПОРАЦИЯ ""УРАЛВАГОНЗАВОД"" ИМЕНИ Ф.Э. ДЗЕРЖИНСКОГО"" (АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ КОРПОРАЦИЯ ""УРАЛВАГОНЗАВОД"" ИМЕНИ Ф.Э. ДЗЕРЖИНСКОГО"")",6669012431,6623029538,31.03.2008,"['622007, ОБЛ СВЕРДЛОВСКАЯ 66, Г НИЖНИЙ ТАГИЛ, Ш ВОСТОЧНОЕ, 28']",7-3435-345293,7bz@uvz.ru,25.99.29.190,барабан правый
3665900167018000015,"1 025 913,32 ",12.03.2018,31.03.2019,Электронный аукцион,ЕКАТЕРИНБУРГСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОЕ ОБЪЕДИНЕНИЕ АВТОБУСНЫХ ПРЕДПРИЯТИЙ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛМЕТАЛЛСТРОЙ"" (ООО ""УРАЛМЕТАЛЛСТРОЙ"")",6659001670,6670296298,10.03.2016,"['620100, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ ТКАЧЕЙ, ДОМ 23, ОФИС 616']",7-343-2877776,ums-ekb@mail.ru,24.10.62.121,Круг В22 ст.35
3662502457421000001,"1 094 882,45 ",12.01.2021,30.06.2021,Электронный аукцион,"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 39 КОМБИНИРОВАННОГО ВИДА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАБИРИНТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАБИРИНТ"")",6625024574,6658453770,15.05.2015,"['620050, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ МАНЕВРОВАЯ, ДОМ 9, ОФИС 242']",8-343-3050403,optmarket66@mail.ru,,Рыба лососевая мороженая
3662305565816000040,"3 650 913,26 ",12.10.2016,31.12.2016,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ЗАКАЗЧИКА ГОРОДСКОГО ХОЗЯЙСТВА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМАВТОТРАНС"" (ООО ""КОМАВТОТРАНС"")",6623055658,6623106599,01.12.2014,"['622048, обл СВЕРДЛОВСКАЯ 66, г НИЖНИЙ ТАГИЛ, ул МАКСАРЕВА, 9, 56']",7-922227-7667,komavtotrans@yandex.ru,81.29.19.000,Выполнение работ по ликвидации несанкционироваанных свалок на территории города Нижний Тагил в 2016 году
2666100435821000012,"1 063 221,61 ",28.04.2021,31.10.2021,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ДЕТСКИЙ ОЗДОРОВИТЕЛЬНЫЙ ЦЕНТР ""ЮНОСТЬ УРАЛА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЧАСТНАЯ ОХРАННАЯ ОРГАНИЗАЦИЯ ""ПАТРИОТ"" (ООО ЧОО ""ПАТРИОТ"")",6661004358,5902012885,28.04.2015,"['614000, КРАЙ ПЕРМСКИЙ 59, Г ПЕРМЬ, УЛ ПУШКИНА, ДОМ 17, ОФИС 8']",79028018558,prem-12@mail.ru,,1
2667035141421000007,"1 576 940,00 ",01.09.2021,15.10.2021,Электронный аукцион,"ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""АППАРАТ ОБЩЕСТВЕННОЙ ПАЛАТЫ СВЕРДЛОВСКОЙ ОБЛАСТИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИАСНАБ"" (ООО ""МЕДИАСНАБ"")",6670351414,1215184582,29.10.2014,"['424036, РЕСП МАРИЙ ЭЛ 12, Г ЙОШКАР-ОЛА, УЛ ОРАЯ, 51']",7-961-3337555,ksuzlata@mail.ru,26.40.34.110,1
2666100878621000144,"1 266 082,00 ",13.09.2021,31.12.2022,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР СПЕЦИАЛИЗИРОВАННЫХ ВИДОВ МЕДИЦИНСКОЙ ПОМОЩИ ""УРАЛЬСКИЙ ИНСТИТУТ КАРДИОЛОГИИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАБЭКСПЕРТ"" (ООО ""ЛАБЭКСПЕРТ"")",6661008786,6671341810,28.02.2014,"['620026, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ БЕЛИНСКОГО, 84, 138']",8-343-3829994,labekspert@yandex.ru,33.13.12.000,1
